pref,muni,code,did_pop,did_pop_pct,urban,urban_naisui,records,years,first_year,last_year,area_takuchi_km2,area_km2,yukaue,yukashita,buildings,buildings_台風,buildings_梅雨前線,buildings_豪雨・その他,buildings_その他,kubochi_records,has_a51,hires_dem_pref
埼玉県,八潮市,11234,90626,97.1,True,True,40,5,2010,2023,0.045,0.045,119.0,157.0,276.0,272.0,0.0,4.0,0.0,0,False,False
茨城県,取手市,08217,76946,73.6,True,True,11,4,2013,2023,0.158,1.096,12.0,254.0,266.0,259.0,0.0,7.0,0.0,0,False,False
埼玉県,富士見市,11235,103613,92.6,True,True,8,3,2011,2019,0.04,0.04,78.0,188.0,266.0,264.0,0.0,2.0,0.0,6,False,False
東京都,世田谷区,13112,943664,100.0,True,True,94,10,2010,2021,0.03,0.03,130.0,135.0,265.0,45.0,115.0,105.0,0.0,0,False,True
千葉県,佐倉市,12212,136266,80.8,True,True,68,6,2010,2019,0.086,0.086,59.0,202.0,261.0,223.0,0.0,38.0,0.0,0,False,False
東京都,八王子市,13201,525295,90.6,True,True,105,5,2013,2019,0.084,0.084,65.0,190.0,255.0,254.0,1.0,0.0,0.0,0,False,True
神奈川県,茅ヶ崎市,14207,228616,94.3,True,True,65,4,2010,2016,0.243,0.243,3.0,252.0,255.0,48.0,0.0,207.0,0.0,1,False,True
青森県,弘前市,02202,115326,68.5,True,True,93,7,2010,2022,0.031,0.348,158.0,94.0,252.0,120.0,5.0,127.0,0.0,26,False,False
千葉県,野田市,12208,100881,66.0,True,True,16,5,2010,2017,0.059,0.059,18.0,230.0,248.0,133.0,0.0,115.0,0.0,0,False,False
静岡県,島田市,22209,52851,55.2,True,True,41,5,2011,2022,0.081,0.095,76.0,169.0,245.0,204.0,13.0,28.0,0.0,2,False,True
新潟県,加茂市,15209,15832,62.2,True,True,67,5,2010,2022,0.204,0.204,16.0,225.0,241.0,5.0,0.0,236.0,0.0,2,False,False
岐阜県,岐阜市,21201,304103,75.5,True,True,67,9,2010,2022,1.338,1.796,22.0,217.0,239.0,25.0,68.0,146.0,0.0,1,False,False
群馬県,高崎市,10202,201755,54.1,True,True,69,8,2010,2019,0.108,0.115,17.0,217.0,234.0,80.0,2.0,152.0,0.0,1,False,False
島根県,松江市,32201,106434,52.3,True,True,157,8,2010,2023,0.118,0.118,27.0,202.0,229.0,1.0,144.0,84.0,0.0,3,False,False
宮城県,名取市,04207,55181,70.1,True,True,42,2,2017,2019,1.372,27.044,81.0,148.0,229.0,229.0,0.0,0.0,0.0,0,False,False
愛知県,大治町,23424,31574,97.5,True,True,6,5,2012,2021,0.102,0.102,8.0,218.0,226.0,121.0,0.0,105.0,0.0,0,False,False
東京都,大田区,13111,748081,100.0,True,True,66,7,2013,2023,0.036,0.036,109.0,117.0,226.0,106.0,91.0,29.0,0.0,0,False,True
東京都,目黒区,13110,288088,100.0,True,True,129,8,2013,2020,0.007,0.007,142.0,80.0,222.0,7.0,147.0,68.0,0.0,0,False,True
千葉県,千葉市,12100,891873,91.5,True,True,55,1,2010,2010,0.051,0.051,100.0,118.0,218.0,2.0,0.0,216.0,0.0,0,False,False
奈良県,大和高田市,29202,45872,74.3,True,True,22,6,2010,2023,0.025,0.025,13.0,200.0,213.0,37.0,45.0,131.0,0.0,0,False,False
三重県,桑名市,24205,74955,54.0,True,True,80,8,2011,2020,0.068,0.068,26.0,187.0,213.0,38.0,0.0,175.0,0.0,0,False,False
奈良県,奈良市,29201,308712,87.1,True,True,87,8,2010,2018,0.034,0.034,22.0,191.0,213.0,75.0,0.0,138.0,0.0,8,False,False
大阪府,交野市,27230,71172,94.9,True,True,49,4,2012,2017,0.085,0.085,35.0,168.0,203.0,8.0,6.0,189.0,0.0,2,False,False
埼玉県,志木市,11228,74945,99.5,True,True,16,5,2013,2023,0.025,0.025,17.0,184.0,201.0,201.0,0.0,0.0,0.0,0,False,False
北海道,釧路町,01661,10191,53.3,True,True,38,4,2010,2015,0.54,0.54,92.0,103.0,195.0,1.0,0.0,194.0,0.0,0,False,False
宮城県,塩竈市,04203,46734,89.5,True,True,23,2,2014,2019,0.254,0.254,90.0,104.0,194.0,194.0,0.0,0.0,0.0,22,False,False
東京都,豊島区,13116,301599,100.0,True,True,42,4,2011,2019,0.021,0.021,123.0,71.0,194.0,22.0,0.0,172.0,0.0,0,False,True
大阪府,摂津市,27224,87265,99.8,True,True,40,2,2012,2013,0.099,0.099,52.0,139.0,191.0,0.0,0.0,191.0,0.0,0,False,False
埼玉県,三郷市,11237,131467,92.5,True,True,41,4,2010,2015,0.06,0.06,85.0,104.0,189.0,185.0,0.0,4.0,0.0,0,False,False
東京都,青梅市,13205,105591,79.1,True,True,21,2,2016,2019,0.04,0.04,96.0,92.0,188.0,188.0,0.0,0.0,0.0,11,False,True
広島県,大竹市,34211,21871,83.1,True,True,45,5,2014,2023,0.078,0.078,33.0,154.0,187.0,185.0,1.0,1.0,0.0,1,False,False
東京都,品川区,13109,422488,100.0,True,True,56,8,2010,2023,0.024,0.024,96.0,90.0,186.0,28.0,54.0,104.0,0.0,0,False,True
大阪府,泉佐野市,27213,82788,82.7,True,True,1,1,2014,2014,0.031,0.031,37.0,147.0,184.0,184.0,0.0,0.0,0.0,0,False,False
大阪府,豊中市,27203,401558,100.0,True,True,13,3,2012,2014,0.292,0.292,9.0,174.0,183.0,10.0,0.0,173.0,0.0,2,False,False
大阪府,吹田市,27205,385567,100.0,True,True,49,8,2010,2020,0.02,0.02,15.0,165.0,180.0,24.0,0.0,156.0,0.0,14,False,False
東京都,江戸川区,13123,697932,100.0,True,True,26,5,2010,2016,1.137,1.137,72.0,107.0,179.0,81.0,0.0,98.0,0.0,0,False,True
