rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
23,京都府,26,京都市,100.0,664.0,1298.0,1962.0,0.9945945945945945,2010,2020,8,False,,False,,伏見区 594、右京区 500、山科区 280、左京区 175…,0.6870540265035678,0.027522935779816515,0.2854230377166157,0.0
24,大阪府,27,大阪市,100.0,101.0,1770.0,1871.0,1.0,2010,2019,3,False,,False,,東淀川区 488、旭区 164、天王寺区 148、東住吉区 143…,0.045430251202565476,0.002672367717797969,0.9518973810796365,0.0
25,宮城県,4,仙台市,96.3,1089.0,754.0,1843.0,0.02278310484190506,2010,2019,8,False,,False,,宮城野区 718、若林区 346、太白区 332、青葉区 282…,0.946825827455236,0.0,0.05317417254476397,0.0
26,埼玉県,11,春日部市,88.1,154.0,1559.0,1713.0,1.0,2010,2019,5,False,,False,,,0.9994162288382954,0.0,0.0005837711617046118,0.0
27,和歌山県,30,新宮市,52.9,864.0,836.0,1700.0,1.0,2010,2022,6,False,,False,,,0.78,0.03294117647058824,0.18705882352941178,0.0
28,兵庫県,28,姫路市,74.0,474.0,1167.0,1641.0,1.0,2010,2022,10,False,,True,DEM・DSM 1m,,0.9183424741011579,0.028641072516758074,0.05301645338208409,0.0
29,福島県,7,郡山市,74.9,877.0,574.0,1451.0,0.9164661395668615,2010,2019,9,False,,False,,,0.5430737422467264,0.048242591316333565,0.40868366643694004,0.0
30,神奈川県,14,川崎市,99.3,842.0,531.0,1373.0,1.0,2010,2020,7,False,,True,DEM 0.5m（R4 範囲は 1m・DSM も）,高津区 532、中原区 506、川崎区 139、多摩区 137…,0.8965768390386016,0.012381646030589949,0.09104151493080845,0.0
31,愛知県,23,江南市,58.8,218.0,1143.0,1361.0,1.0,2011,2023,6,False,,False,,,0.0029390154298310064,0.04922850844966936,0.9478324761204996,0.0
32,愛知県,23,一宮市,72.8,240.0,1072.0,1312.0,0.7460122699386503,2010,2022,12,False,,False,,,0.06783536585365854,0.01524390243902439,0.916920731707317,0.0
33,宮城県,4,柴田町,61.9,520.0,749.0,1269.0,0.2794759825327511,2010,2019,8,False,,False,,,0.9818754925137904,0.0,0.018124507486209612,0.0
34,京都府,26,八幡市,88.3,58.0,1136.0,1194.0,1.0,2012,2013,2,False,,False,,,0.7420435510887772,0.0,0.25795644891122277,0.0
35,和歌山県,30,和歌山市,77.0,266.0,859.0,1125.0,0.7362848893166507,2010,2023,8,False,,False,,,0.9395555555555556,0.050666666666666665,0.009777777777777778,0.0
36,埼玉県,11,朝霞市,98.1,414.0,593.0,1007.0,1.0,2010,2020,10,False,,False,,,0.45878848063555117,0.3455809334657398,0.19563058589870905,0.0
