pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
愛知県,名古屋市熱田区,15,4,2013,2021,0.47,48.0,114.0,0,162.0
愛知県,清須市,34,3,2012,2016,0.542,5.0,156.0,0,161.0
鳥取県,鳥取市,76,6,2011,2023,0.134,32.0,128.0,1,160.0
三重県,伊賀市,19,4,2013,2016,0.05,3.0,155.0,0,158.0
宮崎県,高鍋町,37,4,2014,2022,0.027,21.0,136.0,0,157.0
奈良県,田原本町,29,6,2010,2023,0.167,10.0,146.0,2,156.0
岡山県,早島町,25,3,2011,2018,0.636,14.0,138.0,1,152.0
埼玉県,吉川市,25,4,2011,2023,0.115,49.0,102.0,9,151.0
福井県,若狭町,44,4,2011,2018,0.073,30.0,120.0,0,150.0
山形県,戸沢村,11,4,2010,2020,0.251,18.0,132.0,0,150.0
新潟県,佐渡市,69,6,2010,2020,0.065,40.0,110.0,0,150.0
兵庫県,篠山市,54,5,2010,2018,0.017,38.0,112.0,0,150.0
奈良県,桜井市,67,9,2012,2023,0.028,3.0,147.0,0,150.0
長野県,千曲市,12,4,2010,2019,2.005,12.0,136.0,0,148.0
大阪府,大阪市天王寺区,3,1,2012,2012,0.014,3.0,145.0,0,148.0
茨城県,高萩市,28,2,2011,2023,0.021,18.0,129.0,0,147.0
茨城県,石岡市,34,3,2010,2015,0.13,21.0,126.0,0,147.0
滋賀県,栗東市,28,5,2010,2021,0.072,6.0,141.0,0,147.0
和歌山県,高野町,10,3,2013,2023,0.034,38.0,109.0,0,147.0
愛知県,名古屋市港区,36,4,2012,2020,1.938,30.0,116.0,0,146.0
和歌山県,御坊市,43,7,2011,2023,0.112,12.0,133.0,0,145.0
千葉県,千葉市中央区,22,7,2012,2023,0.03,23.0,122.0,2,145.0
岐阜県,養老町,3,2,2013,2017,0.036,0.0,144.0,0,144.0
大阪府,大阪市東住吉区,1,1,2012,2012,0.011,3.0,140.0,0,143.0
山形県,中山町,6,1,2020,2020,0.271,18.0,124.0,0,142.0
大分県,中津市,56,3,2017,2023,0.096,42.0,100.0,0,142.0
岡山県,矢掛町,6,3,2012,2018,1.045,20.0,121.0,0,141.0
宮城県,白石市,1,1,2019,2019,0.621,0.0,139.0,0,139.0
愛知県,小牧市,46,5,2013,2019,0.068,6.0,133.0,0,139.0
神奈川県,鎌倉市,4,1,2014,2014,0.007,96.0,43.0,0,139.0
神奈川県,川崎市川崎区,39,4,2013,2019,0.014,59.0,80.0,0,139.0
和歌山県,湯浅町,20,6,2010,2016,0.079,9.0,130.0,3,139.0
北海道,岩見沢市,11,2,2010,2012,0.764,53.0,86.0,0,139.0
徳島県,石井町,20,3,2011,2016,0.024,21.0,117.0,1,138.0
広島県,大崎上島町,22,4,2018,2021,0.093,43.0,94.0,0,137.0
秋田県,湯沢市,32,6,2010,2018,0.042,7.0,130.0,0,137.0
神奈川県,横浜市瀬谷区,17,5,2013,2019,0.015,16.0,121.0,9,137.0
神奈川県,川崎市多摩区,5,4,2013,2019,0.011,55.0,82.0,0,137.0
愛知県,名古屋市東区,21,6,2011,2019,2.239,8.0,128.0,0,136.0
山形県,庄内町,73,5,2010,2020,0.593,0.0,136.0,0,136.0
長崎県,大村市,41,1,2020,2020,0.037,83.0,51.0,41,134.0
島根県,江津市,49,7,2011,2021,0.526,13.0,119.0,4,132.0
愛媛県,砥部町,16,6,2011,2020,0.045,24.0,108.0,9,132.0
静岡県,浜松市中区,25,8,2010,2023,1.098,26.0,105.0,0,131.0
栃木県,宇都宮市,25,5,2014,2018,0.018,46.0,85.0,0,131.0
青森県,八戸市,53,8,2010,2019,0.056,31.0,99.0,0,130.0
岡山県,和気町,61,3,2012,2018,0.082,18.0,112.0,0,130.0
熊本県,あさぎり町,4,2,2011,2020,0.081,99.0,31.0,1,130.0
秋田県,潟上市,31,5,2013,2023,0.105,26.0,104.0,1,130.0
熊本県,八代市,11,2,2012,2013,0.104,5.0,125.0,0,130.0
愛知県,田原市,13,5,2011,2023,0.233,13.0,117.0,1,130.0
福岡県,小竹町,11,3,2010,2021,0.538,24.0,104.0,4,128.0
石川県,白山市,26,4,2013,2022,0.038,10.0,117.0,0,127.0
埼玉県,さいたま市中央区,42,7,2013,2023,0.142,58.0,69.0,0,127.0
埼玉県,さいたま市大宮区,32,6,2013,2023,0.073,95.0,31.0,0,126.0
東京都,武蔵野市,16,4,2010,2018,0.062,49.0,77.0,0,126.0
福島県,南相馬市,59,2,2010,2019,0.156,33.0,92.0,56,125.0
愛媛県,松野町,4,1,2018,2018,0.107,51.0,74.0,0,125.0
青森県,鶴田町,41,3,2010,2022,0.19,72.0,51.0,0,123.0
埼玉県,蓮田市,2,2,2013,2016,0.012,0.0,123.0,1,123.0
広島県,江田島市,26,2,2010,2018,0.134,34.0,89.0,0,123.0
山形県,長井市,95,6,2010,2020,0.036,15.0,108.0,0,123.0
東京都,渋谷区,52,5,2010,2021,0.018,91.0,32.0,0,123.0
愛媛県,鬼北町,20,1,2018,2018,0.018,21.0,101.0,0,122.0
青森県,平川市,43,3,2012,2022,0.02,12.0,110.0,11,122.0
京都府,向日市,12,4,2010,2015,0.012,9.0,113.0,0,122.0
栃木県,足利市,35,3,2014,2019,1.667,55.0,66.0,0,121.0
千葉県,千葉市稲毛区,23,7,2012,2023,0.025,13.0,108.0,4,121.0
岡山県,笠岡市,6,3,2012,2018,1.097,23.0,98.0,0,121.0
東京都,北区,88,6,2010,2018,0.039,70.0,49.0,0,119.0
佐賀県,唐津市,38,8,2010,2023,0.011,16.0,103.0,0,119.0
静岡県,浜松市北区,23,8,2011,2023,2.14,43.0,76.0,2,119.0
岡山県,赤磐市,42,4,2012,2018,0.011,17.0,98.0,26,115.0
大阪府,大阪市東成区,9,2,2012,2019,0.013,1.0,114.0,0,115.0
青森県,中泊町,45,4,2010,2022,0.034,38.0,76.0,5,114.0
佐賀県,多久市,28,7,2010,2021,0.492,17.0,97.0,0,114.0
岡山県,高梁市,15,3,2010,2018,0.197,60.0,53.0,0,113.0
奈良県,安堵町,6,5,2012,2023,0.016,20.0,93.0,0,113.0
東京都,文京区,20,6,2010,2021,0.006,92.0,21.0,0,113.0
東京都,三鷹市,19,6,2011,2019,0.013,40.0,72.0,0,112.0
神奈川県,秦野市,25,5,2010,2015,0.013,64.0,47.0,1,111.0
熊本県,荒尾市,5,2,2020,2021,1.487,9.0,101.0,0,110.0
石川県,能美市,27,2,2013,2022,0.278,16.0,94.0,25,110.0
秋田県,北秋田市,239,8,2010,2023,0.026,15.0,94.0,12,109.0
熊本県,水俣市,21,3,2010,2020,0.446,26.0,83.0,1,109.0
神奈川県,藤沢市,34,5,2013,2017,0.018,53.0,56.0,0,109.0
山口県,下関市,34,4,2010,2015,0.546,3.0,104.0,0,107.0
東京都,立川市,37,5,2010,2022,0.023,14.0,93.0,0,107.0
熊本県,芦北町,52,6,2012,2020,0.031,15.0,92.0,0,107.0
北海道,釧路市,58,3,2013,2021,0.957,12.0,94.0,0,106.0
山形県,村山市,24,6,2011,2020,0.145,79.0,27.0,0,106.0
岡山県,美作市,8,3,2013,2022,0.067,47.0,58.0,0,105.0
京都府,京都市西京区,26,4,2010,2018,0.009,28.0,77.0,0,105.0
新潟県,胎内市,25,1,2022,2022,0.725,0.0,105.0,0,105.0
千葉県,山武市,16,3,2010,2019,0.12,33.0,71.0,2,104.0
埼玉県,新座市,28,5,2010,2017,0.017,32.0,72.0,0,104.0
福岡県,北九州市小倉北区,14,3,2013,2017,0.014,21.0,83.0,0,104.0
富山県,魚津市,20,3,2010,2021,0.023,4.0,99.0,0,103.0
熊本県,益城町,2,1,2016,2016,0.11,21.0,82.0,0,103.0
埼玉県,坂戸市,8,3,2017,2022,0.321,42.0,60.0,2,102.0
島根県,安来市,66,4,2011,2021,0.054,5.0,97.0,0,102.0
京都府,京都市下京区,24,2,2010,2014,0.012,12.0,89.0,0,101.0
岡山県,備前市,11,3,2012,2018,0.001,11.0,90.0,0,101.0
鹿児島県,指宿市,36,4,2012,2020,0.126,3.0,95.0,1,98.0
兵庫県,西宮市,61,3,2013,2015,0.009,21.0,75.0,2,96.0
岩手県,花巻市,48,5,2010,2022,0.013,7.0,88.0,5,95.0
茨城県,つくば市,12,5,2011,2019,0.019,0.0,95.0,0,95.0
京都府,京都市中京区,24,4,2010,2015,0.009,55.0,40.0,0,95.0
岐阜県,郡上市,75,3,2010,2018,0.014,7.0,87.0,0,94.0
兵庫県,尼崎市,53,1,2013,2013,0.009,42.0,52.0,0,94.0
長野県,下諏訪町,30,4,2012,2021,0.025,2.0,91.0,0,93.0
埼玉県,狭山市,22,6,2010,2022,0.031,22.0,71.0,11,93.0
宮城県,村田町,10,3,2011,2019,0.012,28.0,64.0,2,92.0
大阪府,大阪市西成区,5,2,2012,2015,0.002,1.0,90.0,0,91.0
千葉県,柏市,34,5,2010,2014,0.028,34.0,57.0,0,91.0
佐賀県,鹿島市,56,4,2010,2022,0.027,3.0,87.0,0,90.0
愛知県,南知多町,20,3,2012,2018,0.04,36.0,54.0,0,90.0
埼玉県,さいたま市南区,50,7,2013,2023,0.193,25.0,65.0,0,90.0
大阪府,大阪市西淀川区,1,1,2012,2012,0.005,4.0,86.0,0,90.0
山口県,宇部市,17,5,2010,2022,0.041,5.0,85.0,5,90.0
千葉県,大網白里市,9,2,2013,2019,0.671,27.0,63.0,0,90.0
北海道,室蘭市,13,1,2010,2010,0.148,46.0,43.0,0,89.0
富山県,射水市,34,6,2010,2018,0.012,1.0,88.0,0,89.0
兵庫県,太子町,56,3,2012,2017,0.03,3.0,86.0,0,89.0
新潟県,柏崎市,61,5,2010,2018,0.034,34.0,54.0,0,88.0
福岡県,大刀洗町,116,6,2012,2021,0.0,20.0,67.0,0,87.0
東京都,中野区,100,11,2010,2023,0.015,59.0,28.0,3,87.0
千葉県,千葉市緑区,15,3,2013,2023,0.009,29.0,58.0,11,87.0
山形県,山形市,78,6,2010,2016,0.025,29.0,58.0,0,87.0
香川県,丸亀市,32,3,2016,2018,0.022,6.0,81.0,0,87.0
大阪府,大阪市都島区,1,1,2012,2012,0.12,1.0,85.0,0,86.0
静岡県,吉田町,16,2,2013,2022,0.283,25.0,61.0,0,86.0
福井県,南越前町,27,1,2022,2022,0.017,20.0,66.0,0,86.0
大阪府,岸和田市,4,2,2010,2014,0.054,9.0,76.0,0,85.0
長野県,中野市,5,2,2017,2019,0.311,64.0,21.0,0,85.0
広島県,安芸高田市,26,3,2010,2020,0.011,5.0,80.0,3,85.0
三重県,鳥羽市,15,3,2015,2019,0.015,29.0,55.0,6,84.0
愛知県,稲沢市,27,5,2012,2021,0.13,1.0,83.0,0,84.0
宮崎県,門川町,6,4,2014,2022,1.171,30.0,54.0,1,84.0
千葉県,富津市,27,5,2011,2021,0.022,19.0,64.0,0,83.0
兵庫県,播磨町,11,4,2011,2014,0.076,13.0,70.0,0,83.0
徳島県,北島町,2,2,2011,2014,0.266,6.0,76.0,0,82.0
島根県,大田市,38,3,2012,2016,0.009,12.0,69.0,0,81.0
兵庫県,小野市,49,6,2011,2018,0.137,19.0,62.0,0,81.0
栃木県,壬生町,17,4,2015,2019,0.045,12.0,69.0,0,81.0
栃木県,佐野市,31,2,2015,2019,0.042,1.0,79.0,29,80.0
岩手県,大槌町,9,2,2016,2019,0.03,29.0,51.0,0,80.0
和歌山県,橋本市,22,3,2013,2023,0.083,5.0,75.0,0,80.0
佐賀県,神埼市,35,5,2010,2021,0.028,9.0,70.0,0,79.0
山形県,酒田市,53,3,2010,2020,0.189,5.0,74.0,8,79.0
大阪府,大阪市住吉区,1,1,2012,2012,0.004,1.0,77.0,0,78.0
兵庫県,明石市,42,6,2010,2018,0.008,15.0,63.0,0,78.0
熊本県,天草市,8,4,2010,2015,0.011,10.0,68.0,0,78.0
福島県,田村市,35,5,2010,2015,0.008,30.0,48.0,0,78.0
山形県,飯豊町,84,4,2013,2022,0.029,1.0,76.0,76,77.0
埼玉県,蕨市,35,5,2011,2019,0.021,30.0,46.0,3,76.0
京都府,木津川市,35,3,2012,2017,0.095,28.0,48.0,0,76.0
山口県,下松市,16,4,2010,2023,0.016,6.0,70.0,2,76.0
高知県,須崎市,30,2,2014,2015,0.024,18.0,57.0,1,75.0
兵庫県,南あわじ市,35,4,2011,2015,0.008,2.0,73.0,0,75.0
鹿児島県,鹿屋市,2,2,2015,2019,0.013,5.0,70.0,0,75.0
鹿児島県,肝付町,32,6,2011,2018,0.211,6.0,69.0,0,75.0
滋賀県,東近江市,2,2,2012,2013,0.037,17.0,57.0,0,74.0
滋賀県,大津市,15,3,2010,2013,0.012,3.0,71.0,0,74.0
埼玉県,さいたま市,30,3,2010,2012,0.007,17.0,57.0,0,74.0
山形県,山辺町,4,2,2013,2020,0.15,26.0,48.0,0,74.0
大分県,竹田市,15,1,2012,2012,0.095,38.0,35.0,0,73.0
愛知県,碧南市,48,5,2013,2022,0.012,11.0,62.0,0,73.0
神奈川県,横浜市,40,3,2010,2012,0.011,22.0,51.0,0,73.0
愛知県,岩倉市,17,7,2013,2021,0.015,1.0,72.0,0,73.0
埼玉県,鳩ケ谷市,6,1,2010,2010,0.036,2.0,70.0,0,72.0
大阪府,大阪市淀川区,3,1,2012,2012,0.004,7.0,65.0,0,72.0
熊本県,御船町,1,1,2016,2016,0.094,56.0,15.0,0,71.0
山口県,山陽小野田市,12,6,2010,2023,0.209,28.0,43.0,2,71.0
埼玉県,入間市,19,5,2010,2019,0.054,21.0,50.0,5,71.0
三重県,志摩市,16,3,2015,2019,0.052,15.0,56.0,1,71.0
福岡県,筑後市,25,5,2010,2023,0.028,5.0,66.0,2,71.0
北海道,北見市,34,5,2010,2016,0.056,0.0,70.0,1,70.0
三重県,名張市,19,8,2011,2023,0.009,0.0,70.0,1,70.0
神奈川県,綾瀬市,22,5,2010,2018,0.021,33.0,37.0,6,70.0
広島県,府中市,8,3,2018,2021,0.179,12.0,57.0,0,69.0
京都府,京都市北区,28,6,2010,2018,0.012,17.0,52.0,2,69.0
兵庫県,市川町,40,4,2010,2013,0.012,6.0,63.0,0,69.0
岐阜県,恵那市,47,6,2010,2021,0.012,6.0,63.0,5,69.0
神奈川県,寒川町,19,5,2010,2021,0.605,13.0,56.0,6,69.0
山形県,大石田町,34,5,2011,2022,0.439,23.0,46.0,0,69.0
北海道,日高町,35,3,2010,2022,1.532,10.0,58.0,0,68.0
福岡県,鞍手町,7,2,2018,2023,0.131,1.0,67.0,0,68.0
新潟県,阿賀野市,23,1,2011,2011,0.035,4.0,64.0,0,68.0
岩手県,野田村,3,3,2011,2019,0.185,5.0,63.0,1,68.0
宮城県,女川町,2,1,2019,2019,0.32,43.0,25.0,2,68.0
富山県,氷見市,22,8,2010,2022,0.037,2.0,65.0,0,67.0
秋田県,井川町,28,4,2011,2023,0.008,9.0,58.0,0,67.0
北海道,函館市,8,2,2017,2022,0.025,14.0,53.0,0,67.0
埼玉県,所沢市,30,2,2010,2011,0.007,16.0,51.0,0,67.0
愛知県,名古屋市中区,11,2,2013,2019,0.573,23.0,44.0,0,67.0
千葉県,木更津市,69,1,2013,2013,0.025,33.0,34.0,0,67.0
福岡県,みやこ町,28,2,2010,2012,0.007,5.0,62.0,0,67.0
神奈川県,大和市,59,7,2010,2018,0.009,27.0,40.0,0,67.0
宮崎県,日南市,54,6,2013,2022,0.051,17.0,49.0,0,66.0
熊本県,錦町,3,1,2020,2020,0.082,2.0,64.0,0,66.0
秋田県,八郎潟町,6,2,2013,2018,0.033,22.0,44.0,0,66.0
福島県,柳津町,9,1,2011,2011,0.009,46.0,20.0,0,66.0
宮崎県,国富町,11,3,2018,2023,0.01,11.0,54.0,0,65.0
茨城県,大子町,4,2,2011,2013,0.001,1.0,64.0,0,65.0
千葉県,八千代市,21,5,2010,2014,0.013,21.0,44.0,0,65.0
東京都,新宿区,26,4,2010,2016,0.006,48.0,16.0,0,64.0
群馬県,玉村町,11,4,2010,2019,0.049,6.0,58.0,0,64.0
岐阜県,土岐市,25,3,2011,2017,0.01,18.0,46.0,0,64.0
東京都,台東区,10,4,2010,2014,0.003,7.0,56.0,0,63.0
三重県,明和町,4,2,2015,2017,0.371,4.0,59.0,0,63.0
長崎県,長崎市,36,3,2014,2016,0.006,3.0,60.0,0,63.0
和歌山県,由良町,17,4,2010,2023,0.009,4.0,59.0,0,63.0
香川県,高松市,20,6,2011,2022,0.008,14.0,48.0,0,62.0
福島県,白河市,24,1,2019,2019,0.01,15.0,47.0,0,62.0
大阪府,大阪市,9,1,2010,2010,0.004,0.0,62.0,0,62.0
福岡県,大木町,29,6,2010,2023,1.261,0.0,62.0,0,62.0
和歌山県,岩出市,3,2,2011,2013,0.089,12.0,50.0,0,62.0
岩手県,普代村,10,2,2016,2019,0.088,7.0,55.0,0,62.0
鳥取県,湯梨浜町,24,3,2018,2023,0.061,6.0,55.0,0,61.0
茨城県,結城市,23,4,2011,2019,0.083,23.0,38.0,0,61.0
東京都,あきる野市,9,1,2019,2019,0.015,40.0,21.0,0,61.0
宮城県,大和町,21,5,2011,2022,0.136,42.0,19.0,0,61.0
愛知県,名古屋市千種区,22,5,2011,2020,0.113,17.0,43.0,0,60.0
埼玉県,加須市,16,6,2011,2023,0.004,7.0,53.0,1,60.0
埼玉県,上尾市,17,7,2013,2019,0.117,22.0,38.0,4,60.0
茨城県,下妻市,42,6,2011,2019,0.013,7.0,53.0,0,60.0
沖縄県,うるま市,21,5,2010,2023,0.018,46.0,14.0,9,60.0
山形県,米沢市,52,8,2010,2022,0.031,7.0,52.0,0,59.0
大阪府,大阪市浪速区,3,1,2012,2012,0.002,2.0,57.0,0,59.0
福井県,越前町,22,2,2021,2023,0.056,7.0,51.0,0,58.0
岡山県,美咲町,7,3,2012,2018,0.092,4.0,54.0,0,58.0
岐阜県,八百津町,14,2,2010,2011,0.064,5.0,53.0,0,58.0
愛知県,豊山町,9,3,2011,2016,0.02,2.0,56.0,0,58.0
愛媛県,新居浜市,29,2,2013,2017,0.017,18.0,40.0,0,58.0
福島県,本宮市,13,2,2016,2019,0.332,7.0,51.0,0,58.0
大分県,玖珠町,10,3,2010,2015,0.003,32.0,26.0,0,58.0
佐賀県,嬉野市,55,4,2010,2021,0.104,17.0,40.0,2,57.0
千葉県,千葉市若葉区,16,6,2012,2023,0.012,27.0,30.0,3,57.0
鹿児島県,さつま町,5,1,2021,2021,0.012,9.0,48.0,0,57.0
茨城県,水戸市,35,7,2011,2023,0.021,22.0,34.0,6,56.0
兵庫県,赤穂市,10,2,2012,2017,0.02,1.0,55.0,5,56.0
石川県,かほく市,9,1,2023,2023,0.022,2.0,54.0,5,56.0
神奈川県,横浜市戸塚区,9,3,2014,2019,0.004,34.0,22.0,1,56.0
静岡県,西伊豆町,6,1,2013,2013,0.038,8.0,48.0,0,56.0
山形県,舟形町,27,6,2013,2020,0.01,1.0,55.0,0,56.0
埼玉県,和光市,21,1,2014,2014,0.004,25.0,31.0,0,56.0
東京都,江東区,17,4,2010,2014,0.013,15.0,40.0,0,55.0
神奈川県,南足柄市,14,3,2010,2019,0.021,8.0,47.0,0,55.0
石川県,内灘町,5,2,2016,2023,0.157,8.0,47.0,0,55.0
愛知県,半田市,18,1,2013,2013,0.044,16.0,39.0,0,55.0
佐賀県,伊万里市,49,7,2010,2021,0.03,4.0,51.0,0,55.0
岡山県,津山市,22,6,2010,2023,0.01,15.0,40.0,0,55.0
兵庫県,福崎町,28,2,2011,2012,0.011,0.0,55.0,0,55.0
福岡県,筑紫野市,14,4,2010,2023,0.011,41.0,14.0,0,55.0
福島県,二本松市,26,3,2010,2019,0.361,26.0,29.0,0,55.0
埼玉県,久喜市,28,4,2011,2019,0.007,12.0,42.0,0,54.0
佐賀県,鳥栖市,30,10,2012,2023,0.04,33.0,21.0,5,54.0
宮城県,利府町,12,2,2011,2019,0.108,34.0,20.0,2,54.0
広島県,竹原市,7,2,2010,2021,0.034,9.0,45.0,0,54.0
富山県,滑川市,11,4,2012,2022,0.025,6.0,48.0,0,54.0
千葉県,香取市,23,5,2010,2023,0.028,7.0,47.0,5,54.0
宮崎県,串間市,18,5,2010,2020,0.045,4.0,50.0,0,54.0
兵庫県,川西市,18,2,2012,2014,0.005,4.0,50.0,0,54.0
長野県,松本市,37,3,2010,2013,0.008,5.0,49.0,0,54.0
兵庫県,相生市,1,1,2017,2017,0.002,5.0,49.0,0,54.0
愛知県,犬山市,10,2,2011,2017,0.002,7.0,46.0,0,53.0
茨城県,筑西市,75,6,2010,2019,0.005,9.0,44.0,0,53.0
鹿児島県,伊佐市,26,2,2011,2021,0.011,31.0,22.0,0,53.0
大阪府,茨木市,11,1,2012,2012,0.018,26.0,27.0,0,53.0
徳島県,阿波市,21,2,2011,2014,0.091,10.0,43.0,0,53.0
三重県,東員町,13,3,2011,2019,0.034,6.0,47.0,0,53.0
愛知県,あま市,4,2,2012,2013,0.006,1.0,52.0,0,53.0
大阪府,泉南市,13,2,2010,2014,0.033,6.0,47.0,0,53.0
北海道,清水町,11,1,2016,2016,0.673,18.0,35.0,0,53.0
愛媛県,愛南町,53,1,2011,2011,0.008,12.0,41.0,0,53.0
福岡県,春日市,16,1,2010,2010,0.019,7.0,45.0,0,52.0
神奈川県,横浜市金沢区,17,2,2015,2019,0.068,45.0,7.0,0,52.0
福島県,小野町,12,3,2011,2019,0.054,8.0,44.0,0,52.0
三重県,玉城町,10,1,2017,2017,0.039,17.0,35.0,0,52.0
岐阜県,瑞浪市,54,4,2011,2017,0.009,6.0,46.0,48,52.0
茨城県,坂東市,5,2,2015,2019,0.015,5.0,47.0,0,52.0
長崎県,諫早市,30,1,2011,2011,0.025,12.0,39.0,0,51.0
福岡県,広川町,10,1,2012,2012,0.005,5.0,46.0,0,51.0
沖縄県,那覇市,15,4,2012,2023,0.001,26.0,25.0,0,51.0
千葉県,南房総市,13,2,2018,2019,0.016,2.0,49.0,0,51.0
千葉県,成田市,30,2,2013,2021,0.008,16.0,35.0,1,51.0
岩手県,一戸町,12,1,2013,2013,0.007,3.0,48.0,0,51.0
静岡県,掛川市,2,2,2014,2022,0.31,13.0,38.0,0,51.0
福岡県,苅田町,24,3,2010,2018,0.013,5.0,45.0,0,50.0
熊本県,玉名市,18,5,2010,2021,0.012,8.0,42.0,0,50.0
秋田県,男鹿市,41,4,2011,2022,0.011,10.0,40.0,3,50.0
北海道,長万部町,23,2,2012,2013,0.103,24.0,26.0,0,50.0
茨城県,日立市,7,2,2012,2013,0.022,7.0,43.0,1,50.0
広島県,三原市,23,2,2013,2021,0.007,16.0,34.0,0,50.0
大阪府,大阪市鶴見区,2,1,2012,2012,0.006,1.0,48.0,0,49.0
千葉県,流山市,5,3,2013,2017,0.007,1.0,48.0,2,49.0
三重県,尾鷲市,13,1,2011,2011,0.01,15.0,33.0,0,48.0
大分県,九重町,13,1,2020,2020,0.01,0.0,48.0,0,48.0
大阪府,大阪市城東区,6,3,2012,2015,0.006,3.0,45.0,0,48.0
東京都,東村山市,47,5,2010,2023,0.001,7.0,41.0,1,48.0
新潟県,新発田市,16,3,2014,2022,0.019,3.0,45.0,0,48.0
香川県,さぬき市,14,1,2011,2011,0.066,6.0,41.0,0,47.0
千葉県,千葉市花見川区,16,5,2013,2023,0.012,15.0,32.0,1,47.0
千葉県,習志野市,11,3,2010,2013,0.004,34.0,13.0,0,47.0
埼玉県,行田市,17,4,2011,2019,0.032,7.0,40.0,0,47.0
沖縄県,沖縄市,27,7,2010,2020,0.011,32.0,15.0,0,47.0
神奈川県,横浜市磯子区,19,4,2013,2019,0.012,33.0,14.0,1,47.0
奈良県,三郷町,9,2,2014,2017,0.073,20.0,26.0,0,46.0
沖縄県,北中城村,7,3,2013,2015,0.06,26.0,20.0,0,46.0
埼玉県,宮代町,3,3,2011,2019,0.009,6.0,39.0,0,45.0
福島県,喜多方市,15,2,2019,2022,0.006,5.0,40.0,0,45.0
兵庫県,養父市,19,3,2017,2023,0.029,7.0,38.0,0,45.0
長野県,茅野市,7,5,2010,2018,0.057,25.0,20.0,0,45.0
石川県,加賀市,17,4,2010,2018,0.099,3.0,42.0,0,45.0
石川県,羽咋市,16,4,2014,2022,0.05,2.0,43.0,0,45.0
福岡県,糸田町,2,2,2012,2018,0.006,0.0,45.0,0,45.0
石川県,金沢市,19,6,2011,2023,0.083,4.0,40.0,0,44.0
青森県,大鰐町,24,2,2010,2013,0.007,9.0,35.0,0,44.0
香川県,宇多津町,4,2,2016,2017,0.084,0.0,44.0,0,44.0
栃木県,那須烏山市,15,5,2011,2019,0.009,23.0,21.0,0,44.0
埼玉県,伊奈町,6,4,2013,2023,0.011,14.0,30.0,1,44.0
山形県,三川町,32,5,2010,2020,0.017,25.0,19.0,0,44.0
鹿児島県,大崎町,5,3,2010,2020,0.028,15.0,29.0,0,44.0
鹿児島県,日置市,30,4,2010,2020,0.011,2.0,41.0,0,43.0
愛知県,名古屋市昭和区,11,4,2011,2021,0.382,8.0,35.0,0,43.0
茨城県,笠間市,28,4,2012,2016,0.007,8.0,34.0,0,42.0
和歌山県,印南町,4,3,2010,2023,0.081,1.0,41.0,0,42.0
徳島県,美波町,6,4,2014,2021,0.004,6.0,36.0,3,42.0
沖縄県,石垣市,3,2,2014,2015,0.032,25.0,17.0,0,42.0
青森県,野辺地町,10,2,2013,2016,0.004,11.0,30.0,0,41.0
島根県,美郷町,19,4,2013,2021,0.047,11.0,30.0,0,41.0
兵庫県,たつの市,17,3,2012,2017,0.007,6.0,35.0,0,41.0
福島県,川俣町,7,3,2010,2015,0.002,5.0,36.0,0,41.0
愛知県,扶桑町,29,6,2013,2022,0.048,0.0,41.0,16,41.0
愛知県,安城市,17,6,2011,2023,0.013,8.0,33.0,1,41.0
愛知県,東郷町,12,1,2012,2012,0.009,12.0,28.0,0,40.0
沖縄県,南城市,4,1,2011,2011,0.272,19.0,21.0,0,40.0
埼玉県,東松山市,28,7,2012,2022,0.151,10.0,30.0,0,40.0
千葉県,長南町,13,3,2013,2023,0.032,20.0,20.0,1,40.0
静岡県,三島市,17,4,2015,2023,0.024,7.0,33.0,1,40.0
北海道,稚内市,18,5,2011,2020,0.01,17.0,23.0,2,40.0
山形県,上山市,15,4,2010,2018,0.007,6.0,33.0,0,39.0
鹿児島県,屋久島町,12,8,2010,2019,0.005,2.0,37.0,0,39.0
埼玉県,戸田市,25,5,2013,2018,0.012,6.0,33.0,0,39.0
北海道,小樽市,41,1,2010,2010,0.006,12.0,27.0,0,39.0
栃木県,那須町,28,2,2011,2019,0.01,26.0,13.0,0,39.0
福岡県,築上町,16,3,2012,2020,0.009,0.0,39.0,2,39.0
茨城県,つくばみらい市,17,2,2013,2023,0.539,2.0,37.0,0,39.0
岩手県,奥州市,28,1,2013,2013,0.004,2.0,37.0,0,39.0
奈良県,橿原市,27,2,2017,2023,0.004,0.0,39.0,0,39.0
静岡県,浜松市西区,13,4,2015,2023,5.256,17.0,22.0,0,39.0
山口県,美祢市,6,2,2010,2015,0.049,11.0,28.0,0,39.0
福井県,越前市,14,2,2013,2022,0.062,1.0,38.0,12,39.0
岩手県,住田町,17,3,2013,2016,0.006,2.0,36.0,0,38.0
埼玉県,さいたま市浦和区,25,6,2013,2020,0.088,11.0,27.0,0,38.0
茨城県,小美玉市,81,6,2010,2023,0.01,16.0,22.0,1,38.0
鹿児島県,枕崎市,16,1,2016,2016,0.017,1.0,37.0,0,38.0
鹿児島県,宇検村,6,2,2010,2012,0.028,11.0,27.0,0,38.0
京都府,京丹波町,22,3,2011,2014,0.012,3.0,35.0,0,38.0
広島県,庄原市,16,4,2010,2020,0.004,8.0,30.0,0,38.0
鹿児島県,南九州市,12,1,2016,2016,0.018,4.0,34.0,0,38.0
千葉県,九十九里町,5,4,2013,2023,0.408,12.0,25.0,2,37.0
