pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
群馬県,太田市,40,7,2010,2019,0.635,101.0,178.0,0,279.0
青森県,五所川原市,183,7,2010,2022,1.131,84.0,195.0,0,279.0
福岡県,朝倉市,223,7,2010,2021,0.116,24.0,254.0,2,278.0
岐阜県,各務原市,83,12,2010,2022,0.052,20.0,257.0,24,277.0
大分県,大分市,57,3,2011,2018,0.444,46.0,230.0,0,276.0
埼玉県,八潮市,40,5,2010,2023,0.045,119.0,157.0,0,276.0
高知県,土佐市,85,5,2014,2023,1.696,38.0,236.0,0,274.0
佐賀県,大町町,21,5,2010,2021,3.132,41.0,233.0,0,274.0
兵庫県,丹波市,159,4,2011,2022,3.238,53.0,215.0,0,268.0
茨城県,取手市,11,4,2013,2023,0.158,12.0,254.0,0,266.0
埼玉県,富士見市,8,3,2011,2019,0.04,78.0,188.0,6,266.0
東京都,世田谷区,94,10,2010,2021,0.03,130.0,135.0,0,265.0
京都府,与謝野町,29,7,2011,2023,0.148,27.0,238.0,0,265.0
静岡県,牧之原市,67,6,2011,2022,0.283,49.0,215.0,0,264.0
静岡県,菊川市,110,4,2016,2022,0.102,21.0,243.0,41,264.0
岡山県,真庭市,87,5,2010,2018,0.244,64.0,198.0,0,262.0
千葉県,佐倉市,68,6,2010,2019,0.086,59.0,202.0,0,261.0
福岡県,八女市,31,5,2012,2023,0.083,132.0,129.0,10,261.0
福岡県,直方市,29,4,2010,2023,0.299,62.0,196.0,0,258.0
長野県,上田市,101,12,2010,2023,0.078,62.0,195.0,0,257.0
愛知県,津島市,23,7,2010,2022,0.242,34.0,222.0,4,256.0
東京都,八王子市,105,5,2013,2019,0.084,65.0,190.0,0,255.0
神奈川県,茅ヶ崎市,65,4,2010,2016,0.243,3.0,252.0,1,255.0
青森県,弘前市,93,7,2010,2022,0.031,158.0,94.0,26,252.0
島根県,出雲市,260,7,2011,2023,0.095,35.0,215.0,1,250.0
千葉県,野田市,16,5,2010,2017,0.059,18.0,230.0,0,248.0
静岡県,島田市,41,5,2011,2022,0.081,76.0,169.0,2,245.0
新潟県,加茂市,67,5,2010,2022,0.204,16.0,225.0,2,241.0
岐阜県,岐阜市,67,9,2010,2022,1.338,22.0,217.0,1,239.0
山形県,白鷹町,83,5,2013,2022,3.449,57.0,177.0,0,234.0
群馬県,高崎市,69,8,2010,2019,0.108,17.0,217.0,1,234.0
宮崎県,西都市,28,4,2016,2022,0.048,76.0,157.0,0,233.0
福岡県,柳川市,31,4,2010,2021,0.034,8.0,221.0,1,229.0
島根県,松江市,157,8,2010,2023,0.118,27.0,202.0,3,229.0
宮城県,名取市,42,2,2017,2019,1.372,81.0,148.0,0,229.0
新潟県,関川村,10,2,2014,2022,0.379,8.0,219.0,0,227.0
宮城県,山元町,96,5,2014,2020,1.118,3.0,223.0,52,226.0
愛知県,大治町,6,5,2012,2021,0.102,8.0,218.0,0,226.0
東京都,大田区,66,7,2013,2023,0.036,109.0,117.0,0,226.0
東京都,目黒区,129,8,2013,2020,0.007,142.0,80.0,0,222.0
新潟県,十日町市,44,3,2010,2017,0.11,20.0,200.0,1,220.0
熊本県,甲佐町,16,1,2016,2016,0.029,31.0,188.0,0,219.0
福岡県,田川市,13,3,2010,2018,0.019,3.0,216.0,0,219.0
千葉県,千葉市,55,1,2010,2010,0.051,100.0,118.0,0,218.0
鹿児島県,大和村,28,2,2010,2012,0.023,30.0,186.0,0,216.0
栃木県,日光市,89,2,2015,2016,1.339,11.0,204.0,0,215.0
奈良県,大和高田市,22,6,2010,2023,0.025,13.0,200.0,0,213.0
三重県,桑名市,80,8,2011,2020,0.068,26.0,187.0,0,213.0
奈良県,奈良市,87,8,2010,2018,0.034,22.0,191.0,8,213.0
愛媛県,大洲市,231,8,2011,2023,1.185,43.0,169.0,0,212.0
山形県,川西町,23,4,2013,2022,11.951,108.0,103.0,0,211.0
広島県,三次市,122,7,2010,2021,1.189,8.0,201.0,0,209.0
宮城県,栗原市,158,4,2012,2019,0.08,40.0,168.0,0,208.0
山口県,周防大島町,75,2,2019,2020,0.176,17.0,191.0,0,208.0
岐阜県,下呂市,61,2,2020,2021,0.208,63.0,144.0,0,207.0
新潟県,五泉市,136,7,2010,2020,0.031,13.0,193.0,0,206.0
大阪府,交野市,49,4,2012,2017,0.085,35.0,168.0,2,203.0
埼玉県,志木市,16,5,2013,2023,0.025,17.0,184.0,0,201.0
島根県,津和野町,36,2,2010,2013,0.273,0.0,200.0,0,200.0
三重県,松阪市,14,5,2011,2017,0.182,88.0,112.0,3,200.0
福岡県,大川市,23,7,2010,2023,0.534,5.0,193.0,0,198.0
北海道,釧路町,38,4,2010,2015,0.54,92.0,103.0,0,195.0
宮城県,塩竈市,23,2,2014,2019,0.254,90.0,104.0,22,194.0
東京都,豊島区,42,4,2011,2019,0.021,123.0,71.0,0,194.0
大阪府,摂津市,40,2,2012,2013,0.099,52.0,139.0,0,191.0
埼玉県,三郷市,41,4,2010,2015,0.06,85.0,104.0,0,189.0
山形県,南陽市,148,10,2010,2022,0.388,54.0,135.0,0,189.0
東京都,青梅市,21,2,2016,2019,0.04,96.0,92.0,11,188.0
和歌山県,白浜町,14,2,2011,2014,0.02,109.0,78.0,0,187.0
広島県,大竹市,45,5,2014,2023,0.078,33.0,154.0,1,187.0
岩手県,雫石町,3,1,2013,2013,0.146,15.0,172.0,0,187.0
茨城県,北茨城市,18,3,2014,2023,0.786,17.0,169.0,2,186.0
東京都,品川区,56,8,2010,2023,0.024,96.0,90.0,0,186.0
大阪府,泉佐野市,1,1,2014,2014,0.031,37.0,147.0,0,184.0
大阪府,豊中市,13,3,2012,2014,0.292,9.0,174.0,2,183.0
大阪府,吹田市,49,8,2010,2020,0.02,15.0,165.0,14,180.0
東京都,江戸川区,26,5,2010,2016,1.137,72.0,107.0,0,179.0
岡山県,総社市,28,4,2011,2018,1.154,42.0,137.0,0,179.0
新潟県,田上町,51,4,2011,2021,0.079,142.0,37.0,0,179.0
福岡県,大牟田市,16,6,2018,2023,0.011,70.0,108.0,4,178.0
静岡県,沼津市,27,9,2010,2023,0.609,93.0,83.0,1,176.0
滋賀県,高島市,37,1,2013,2013,0.053,17.0,159.0,0,176.0
京都府,京都市左京区,29,7,2010,2020,0.014,30.0,145.0,0,175.0
愛知県,岡崎市,72,6,2011,2023,0.051,48.0,127.0,1,175.0
鹿児島県,霧島市,30,5,2010,2023,1.098,48.0,126.0,1,174.0
徳島県,吉野川市,39,7,2011,2018,0.47,12.0,161.0,0,173.0
和歌山県,かつらぎ町,23,4,2011,2023,0.263,106.0,66.0,0,172.0
島根県,益田市,34,3,2013,2021,0.027,81.0,91.0,0,172.0
長崎県,対馬市,54,5,2012,2023,0.037,44.0,128.0,0,172.0
愛媛県,八幡浜市,27,2,2017,2018,0.259,20.0,151.0,0,171.0
岩手県,盛岡市,119,5,2010,2022,0.247,2.0,166.0,1,168.0
山形県,高畠町,52,6,2010,2022,0.093,70.0,95.0,0,165.0
宮城県,仙台市泉区,11,7,2010,2019,0.034,89.0,76.0,1,165.0
新潟県,小千谷市,64,3,2011,2019,0.204,30.0,135.0,0,165.0
大阪府,大阪市旭区,2,1,2012,2012,0.015,10.0,154.0,0,164.0
東京都,杉並区,157,11,2010,2023,0.016,115.0,48.0,0,163.0
兵庫県,伊丹市,50,4,2010,2014,0.015,53.0,110.0,0,163.0
